country,Index Category 2023,Index Ranking 2023,Index Category July 2023,Index Ranking July 2023,Change category since July 2023,Change in ranking since July 2023,Deadliness Ranking 2023,Danger Ranking 2023,Diffusion Ranking 2023,Fragmentation Ranking 2023,Deadliness Ranking July 2023,Danger Ranking July 2023,Diffusion Ranking July 2023,Fragmentation Ranking July 2023,Change in ranking since 2019,Change category since 2019,Total score 2023
Tokelau,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Tonga,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Turkmenistan,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-69,Consistent,0
Turks and Caicos Islands,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Tuvalu,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
United Arab Emirates,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-35,Consistent,0
United States Minor Outlying Islands,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
"Virgin Islands, U.S.",Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Wallis and Futuna,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Kiribati,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Northern Mariana Islands,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Palau,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Antarctica,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
French Southern and Antarctic Lands,Low/Inactive,163,,,,,125,161,54,118,,,,,-30,Consistent,0
